Papiamentu,pap,papwiki, 895 KB,papwiki-20150602-pages-articles.xml.bz2,/20150602/
Punjabi,pa,pawiki, 14.7 MB,pawiki-20150603-pages-articles.xml.bz2,/20150603/
Picard,pcd,pcdwiki, 2.5 MB,pcdwiki-20150603-pages-articles.xml.bz2,/20150603/
Pennsylvania German,pdc,pdcwiki, 836 KB,pdcwiki-20150602-pages-articles.xml.bz2,/20150602/
Palatinate German,pfl,pflwiki, 2.3 MB,pflwiki-20150602-pages-articles.xml.bz2,/20150602/
Norfolk,pih,pihwiki, 449 KB,pihwiki-20150602-pages-articles.xml.bz2,/20150602/
Pali,pi,piwiki, 483 KB,piwiki-20150602-pages-articles.xml.bz2,/20150602/
Polish,pl,plwiki, 1.2 GB,plwiki-20150602-pages-articles.xml.bz2,/20150602/
Piedmontese,pms,pmswiki, 10.4 MB,pmswiki-20150602-pages-articles.xml.bz2,/20150602/
Western Punjabi,pnb,pnbwiki, 7.1 MB,pnbwiki-20150602-pages-articles.xml.bz2,/20150602/
Pontic,pnt,pntwiki, 367 KB,pntwiki-20150602-pages-articles.xml.bz2,/20150602/
Pashto,ps,pswiki, 6.6 MB,pswiki-20150603-pages-articles.xml.bz2,/20150603/
Portuguese,pt,ptwiki, 1.1 GB,ptwiki-20150602-pages-articles.xml.bz2,/20150602/
Quechua,qu,quwiki, 8.5 MB,quwiki-20150602-pages-articles.xml.bz2,/20150602/
Romansh,rm,rmwiki, 193 KB,rnwiki-20150603-pages-articles.xml.bz2,/20150603/
Romani,rmy,rmywiki, 400 KB,rmywiki-20150603-pages-articles.xml.bz2,/20150603/
Kirundi,rn,rnwiki, 193 KB,rnwiki-20150603-pages-articles.xml.bz2,/20150603/
Aromanian,roa-rup,roa_rupwiki, 595 KB,roa_rupwiki-20150603-pages-articles.xml.bz2,/20150603/
Tarantino,roa-tara,roa_tarawiki, 5.1 MB,roa_tarawiki-20150602-pages-articles.xml.bz2,/20150602/
Romanian,ro,rowiki, 300.4 MB,rowiki-20150602-pages-articles.xml.bz2,/20150602/
Rusyn,rue,ruewiki, 1.8 MB,ruewiki-20150602-pages-articles.xml.bz2,/20150602/
Russian1,ru,ruwiki, 262.7 MB,ruwiki-20150603-pages-articles1.xml.bz2,/20150603/
Russian2,ru,ruwiki, 370.6 MB,ruwiki-20150603-pages-articles2.xml.bz2,/20150603/
Russian3,ru,ruwiki, 516.4 MB,ruwiki-20150603-pages-articles3.xml.bz2,/20150603/
Russian4,ru,ruwiki, 1.3 GB,ruwiki-20150603-pages-articles4.xml.bz2,/20150603/
Kinyarwanda,rw,rwwiki, 700 KB,rwwiki-20150602-pages-articles.xml.bz2,/20150602/
Sakha,sah,sahwiki, 7.9 MB,sahwiki-20150603-pages-articles.xml.bz2,/20150603/
Sanskrit,sa,sawiki, 10.8 MB,sawiki-20150602-pages-articles.xml.bz2,/20150602/
Sicilian,scn,scnwiki, 9.6 MB,scnwiki-20150602-pages-articles.xml.bz2,/20150602/
Scots,sco,scowiki, 30.2 MB,scowiki-20150602-pages-articles.xml.bz2,/20150602/
Sardinian,sc,scwiki, 2.9 MB,scwiki-20150602-pages-articles.xml.bz2,/20150602/
Sindhi,sd,sdwiki, 1.7 MB,sdwiki-20150602-pages-articles.xml.bz2,/20150602/
Northern Sami,se,sewiki, 2.4 MB,sewiki-20150602-pages-articles.xml.bz2,/20150602/
Sango,sg,sgwiki, 200 KB,sgwiki-20150602-pages-articles.xml.bz2,/20150602/
Serbo-Croatian,sh,shwiki, 300.0 MB,shwiki-20150602-pages-articles.xml.bz2,/20150602/
Simple English,simple,simplewiki, 103.8 MB,simplewiki-20150603-pages-articles.xml.bz2,/20150603/
Sinhalese,si,siwiki, 25.0 MB,siwiki-20150602-pages-articles.xml.bz2,/20150602/
Slovak,sk,skwiki, 157.8 MB,skwiki-20150602-pages-articles.xml.bz2,/20150602/
Slovenian,sl,slwiki, 141.0 MB,slwiki-20150603-pages-articles.xml.bz2,/20150603/
